Loyalty Number,Country,Province,City,Gender,Education,Salary,Salary_College,Marital Status,Loyalty Card,CLV,Enrollment Year,Enrollment Month,Cancelled
612905,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3920.51,2015,2,0
679908,Canada,Quebec,Montreal,Female,Bachelor,77601.0,0,Married,Star,3921.02,2015,8,0
704150,Canada,Manitoba,Winnipeg,Male,Bachelor,77601.0,0,Married,Star,3921.02,2014,10,0
869743,Canada,Ontario,Sudbury,Female,Bachelor,73236.0,0,Single,Star,3924.42,2016,11,1
596179,Canada,New Brunswick,Fredericton,Female,Bachelor,50879.0,0,Single,Star,3933.81,2014,3,0
370450,Canada,Ontario,Thunder Bay,Female,High School or Below,62160.0,0,Married,Star,3934.1,2012,11,0
501030,Canada,British Columbia,Vancouver,Male,Bachelor,93541.0,0,Married,Star,3934.71,2017,3,0
878633,Canada,Ontario,Trenton,Female,Doctor,163974.0,0,Married,Star,3936.79,2013,12,0
285938,Canada,Quebec,Montreal,Female,Bachelor,75827.0,0,Married,Star,3939.01,2014,9,0
588237,Canada,Quebec,Tremblant,Male,Bachelor,75827.0,0,Married,Star,3939.01,2013,11,0
645280,Canada,British Columbia,West Vancouver,Male,Bachelor,75827.0,0,Married,Star,3939.01,2012,12,0
864324,Canada,Quebec,Quebec City,Female,Bachelor,75827.0,0,Married,Star,3939.01,2018,6,0
124678,Canada,Nova Scotia,Halifax,Male,Doctor,152955.0,0,Married,Star,3954.34,2013,6,0
186015,Canada,British Columbia,Vancouver,Male,Doctor,152955.0,0,Married,Star,3954.34,2015,9,0
461108,Canada,Quebec,Montreal,Male,Doctor,152955.0,0,Married,Star,3954.34,2018,10,0
589580,Canada,British Columbia,Whistler,Male,Doctor,152955.0,0,Married,Star,3954.34,2015,8,0
623688,Canada,Ontario,London,Female,Doctor,152955.0,0,Married,Star,3954.34,2016,5,0
386082,Canada,Alberta,Edmonton,Female,Bachelor,30486.0,0,Divorced,Aurora,5391.97,2018,3,1
256147,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3958.0,2012,9,0
329382,Canada,Quebec,Montreal,Male,College,,1,Single,Star,3961.59,2012,8,0
140392,Canada,British Columbia,Vancouver,Female,Bachelor,96814.0,0,Married,Star,3963.39,2013,7,0
112522,Canada,Alberta,Peace River,Male,Bachelor,49846.0,0,Married,Aurora,5636.74,2018,2,0
230908,Canada,British Columbia,Vancouver,Male,Doctor,217538.0,0,Divorced,Star,3964.15,2012,5,0
972581,Canada,British Columbia,Vancouver,Male,High School or Below,48744.0,0,Married,Star,3964.53,2016,2,0
357549,Canada,British Columbia,Whistler,Female,Bachelor,76410.0,0,Single,Star,3964.73,2018,9,0
330694,Canada,Alberta,Edmonton,Female,Bachelor,105053.0,0,Married,Aurora,6172.91,2018,2,0
910875,Canada,Quebec,Hull,Female,Bachelor,84914.0,0,Married,Star,3966.13,2012,11,0
501704,Canada,Quebec,Hull,Male,College,,1,Divorced,Star,3974.86,2013,5,0
529098,Canada,British Columbia,Vancouver,Female,College,,1,Divorced,Star,3974.86,2017,10,0
265297,Canada,Manitoba,Winnipeg,Female,Bachelor,60519.0,0,Married,Star,3978.67,2018,7,0
567875,Canada,Quebec,Quebec City,Female,Bachelor,102457.0,0,Married,Star,3979.72,2017,5,0
688524,Canada,Manitoba,Winnipeg,Female,Bachelor,103862.0,0,Married,Star,3980.42,2013,3,0
269070,Canada,British Columbia,Vancouver,Male,Master,93153.0,0,Married,Star,3985.32,2013,1,0
387705,Canada,Quebec,Hull,Female,Master,93153.0,0,Married,Star,3985.32,2013,4,0
923293,Canada,Saskatchewan,Regina,Male,Bachelor,86793.0,0,Divorced,Star,3985.55,2016,6,0
283314,Canada,Ontario,Toronto,Female,Bachelor,72127.0,0,Married,Star,3991.73,2013,4,1
322102,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,3992.58,2013,8,1
789157,Canada,British Columbia,Vancouver,Female,College,,1,Single,Star,3995.36,2018,9,0
654748,Canada,Ontario,Ottawa,Female,Bachelor,65721.0,0,Married,Star,3996.77,2017,4,1
984713,Canada,Ontario,Sudbury,Female,College,,1,Single,Star,3997.48,2018,8,0
114835,Canada,Ontario,Toronto,Female,Master,101354.0,0,Divorced,Star,4001.52,2017,7,0
328936,Canada,Ontario,Thunder Bay,Female,Bachelor,53118.0,0,Married,Star,4005.72,2015,3,0
845864,Canada,British Columbia,Vancouver,Female,Doctor,115440.0,0,Married,Star,4013.85,2013,4,0
645265,Canada,Quebec,Quebec City,Male,Bachelor,73313.0,0,Married,Star,4013.95,2013,3,0
223587,Canada,British Columbia,Vancouver,Female,Bachelor,100167.0,0,Married,Star,4013.96,2017,8,0
158560,Canada,British Columbia,Vancouver,Male,Bachelor,59262.0,0,Married,Star,4014.45,2015,12,0
417584,Canada,British Columbia,Vancouver,Male,Bachelor,59262.0,0,Married,Star,4014.45,2014,5,0
566033,Canada,Ontario,Toronto,Male,College,,1,Married,Star,4015.21,2015,6,1
472521,Canada,Alberta,Edmonton,Male,College,,1,Married,Aurora,6265.34,2018,3,0
425854,Canada,Ontario,Toronto,Female,High School or Below,39079.0,0,Married,Star,4016.13,2016,11,0
174896,Canada,Alberta,Edmonton,Female,College,,1,Single,Star,4016.54,2015,4,1
695855,Canada,Quebec,Montreal,Female,College,,1,Divorced,Star,4019.38,2013,4,0
699511,Canada,British Columbia,West Vancouver,Female,College,,1,Divorced,Star,4019.38,2014,7,0
377322,Canada,Alberta,Edmonton,Female,Bachelor,62518.0,0,Married,Star,4023.81,2016,5,0
511053,Canada,Ontario,Toronto,Male,Bachelor,62518.0,0,Married,Star,4023.81,2015,3,0
890753,Canada,Quebec,Montreal,Male,College,,1,Married,Star,4025.1,2017,9,0
796670,Canada,Manitoba,Winnipeg,Female,Bachelor,47536.0,0,Married,Star,4035.68,2014,2,0
556136,Canada,Quebec,Montreal,Female,College,,1,Married,Star,4035.77,2017,1,0
513081,Canada,Alberta,Edmonton,Female,Bachelor,98320.0,0,Married,Star,4037.5,2015,11,0
930718,Canada,Quebec,Montreal,Female,High School or Below,63577.0,0,Married,Star,4037.55,2015,7,0
235872,Canada,Ontario,Toronto,Female,Doctor,89057.0,0,Single,Star,4046.94,2013,3,0
881142,Canada,British Columbia,Vancouver,Female,Doctor,89057.0,0,Single,Star,4046.94,2016,9,1
295147,Canada,British Columbia,Kelowna,Male,Bachelor,99814.0,0,Married,Star,4048.16,2017,5,0
306110,Canada,Ontario,Toronto,Male,Bachelor,64587.0,0,Married,Star,4053.37,2013,5,0
295217,Canada,Ontario,Toronto,Female,Doctor,67411.0,0,Divorced,Star,4059.57,2016,6,0
967300,Canada,Alberta,Edmonton,Male,Bachelor,62630.0,0,Single,Aurora,6364.9,2018,3,1
591731,Canada,Ontario,Toronto,Male,Bachelor,51370.0,0,Married,Star,4064.18,2013,9,0
326905,Canada,British Columbia,Vancouver,Female,College,,1,Married,Star,4068.09,2017,2,0
375511,Canada,Quebec,Montreal,Female,Bachelor,59300.0,0,Single,Star,4070.05,2014,7,0
485283,Canada,Ontario,Toronto,Male,Bachelor,102479.0,0,Single,Star,4072.85,2017,9,0
920716,Canada,Alberta,Peace River,Female,College,,1,Single,Aurora,7098.91,2018,4,0
797685,Canada,Alberta,Edmonton,Male,College,,1,Married,Star,4079.13,2017,6,0
216467,Canada,New Brunswick,Fredericton,Male,Doctor,90995.0,0,Married,Star,4083.56,2014,7,0
958839,Canada,Quebec,Montreal,Male,Doctor,90995.0,0,Married,Star,4083.56,2018,8,0
539673,Canada,Ontario,Toronto,Female,Bachelor,49558.0,0,Married,Star,4087.51,2015,2,1
746226,Canada,British Columbia,Whistler,Female,Bachelor,63501.0,0,Married,Star,4089.04,2018,1,0
484718,Canada,British Columbia,Vancouver,Male,Bachelor,76367.0,0,Single,Star,4089.46,2012,6,0
528492,Canada,Quebec,Hull,Male,Bachelor,60360.0,0,Married,Star,4090.75,2015,6,1
995091,Canada,British Columbia,Whistler,Female,Bachelor,55454.0,0,Married,Star,4095.2,2017,9,0
632793,Canada,Quebec,Hull,Female,High School or Below,60370.0,0,Single,Star,4097.37,2016,6,0
912220,Canada,British Columbia,Vancouver,Male,High School or Below,60370.0,0,Single,Star,4097.37,2013,8,1
382197,Canada,British Columbia,Vancouver,Male,Bachelor,69367.0,0,Married,Star,4100.47,2017,10,1
705196,Canada,British Columbia,Whistler,Female,College,,1,Single,Star,4101.94,2013,11,0
123094,Canada,British Columbia,Vancouver,Female,Bachelor,92223.0,0,Married,Star,4103.85,2018,1,0
366540,Canada,Alberta,Calgary,Female,Bachelor,90077.0,0,Married,Aurora,7288.88,2018,3,0
119488,Canada,Quebec,Tremblant,Female,College,,1,Single,Star,4108.26,2017,6,0
287750,Canada,Ontario,Ottawa,Female,College,,1,Single,Star,4109.31,2012,8,0
735846,Canada,Ontario,Trenton,Male,Bachelor,95318.0,0,Married,Star,4109.79,2012,8,0
606026,Canada,British Columbia,Vancouver,Male,Bachelor,55207.0,0,Single,Star,4110.62,2015,7,0
460291,Canada,British Columbia,West Vancouver,Female,Bachelor,55476.0,0,Divorced,Star,4111.2,2015,9,0
743001,Canada,British Columbia,Vancouver,Female,Bachelor,79533.0,0,Married,Star,4111.89,2017,5,0
869799,Canada,Ontario,Toronto,Female,Bachelor,79533.0,0,Married,Star,4111.89,2015,3,0
520321,Canada,Ontario,London,Female,Doctor,237245.0,0,Married,Star,4112.84,2015,9,1
279419,Canada,British Columbia,West Vancouver,Female,College,,1,Single,Star,4117.37,2013,7,0
170585,Canada,Ontario,Thunder Bay,Male,Bachelor,82675.0,0,Single,Star,4118.59,2013,8,0
188340,Canada,Ontario,Toronto,Male,Bachelor,82675.0,0,Single,Star,4118.59,2017,4,0
670817,Canada,Ontario,Ottawa,Male,Bachelor,82675.0,0,Single,Star,4118.59,2016,12,0
509513,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,4121.25,2012,12,0
779247,Canada,Manitoba,Winnipeg,Male,Bachelor,86987.0,0,Married,Star,4122.57,2012,9,0
111255,Canada,Quebec,Hull,Male,High School or Below,70272.0,0,Married,Star,4122.96,2013,3,0
763061,Canada,Ontario,Toronto,Male,Bachelor,56845.0,0,Married,Star,4126.61,2014,4,0
766335,Canada,Alberta,Edmonton,Male,Bachelor,67756.0,0,Married,Aurora,7482.49,2018,2,0
428919,Canada,Quebec,Montreal,Female,Bachelor,58209.0,0,Divorced,Star,4139.9,2015,7,0
139863,Canada,Quebec,Montreal,Male,Bachelor,67223.0,0,Married,Star,4142.56,2015,10,0
695755,Canada,British Columbia,West Vancouver,Female,Bachelor,79088.0,0,Married,Star,4144.87,2012,4,0
355331,Canada,Ontario,Thunder Bay,Male,College,,1,Divorced,Star,4145.02,2013,7,0
578837,Canada,Ontario,Toronto,Male,College,,1,Single,Star,4152.65,2012,5,0
603248,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,4157.7,2016,2,1
467182,Canada,Alberta,Edmonton,Female,Bachelor,102347.0,0,Married,Star,4160.02,2013,12,1
601407,Canada,Ontario,Toronto,Male,Bachelor,72809.0,0,Married,Star,4165.17,2015,9,0
700871,Canada,Newfoundland,St. John's,Female,Bachelor,74567.0,0,Married,Star,4165.25,2015,12,0
203809,Canada,Alberta,Edmonton,Female,High School or Below,54160.0,0,Married,Star,4165.35,2012,7,0
705589,Canada,Ontario,Toronto,Female,College,,1,Single,Star,4165.99,2012,5,0
354438,Canada,Quebec,Montreal,Male,College,,1,Married,Star,4167.09,2018,9,0
746060,Canada,British Columbia,Victoria,Male,College,,1,Married,Star,4167.09,2014,4,0
469718,Canada,Ontario,Toronto,Male,Bachelor,73544.0,0,Married,Star,4167.42,2013,1,0
164429,Canada,British Columbia,Dawson Creek,Female,Bachelor,57852.0,0,Single,Star,4169.36,2012,9,0
708373,Canada,Ontario,Toronto,Female,Bachelor,57852.0,0,Single,Star,4169.36,2017,3,0
225088,Canada,British Columbia,Vancouver,Male,Bachelor,97991.0,0,Married,Star,4170.34,2015,9,0
100214,Canada,British Columbia,Vancouver,Male,Bachelor,63253.0,0,Married,Star,4170.57,2015,8,0
459999,Canada,Quebec,Tremblant,Male,Bachelor,53465.0,0,Single,Star,4170.69,2017,9,0
553936,Canada,Ontario,Toronto,Female,Bachelor,53465.0,0,Single,Star,4170.69,2014,12,1
268128,Canada,Ontario,Toronto,Female,High School or Below,47663.0,0,Married,Star,4177.88,2013,1,0
930584,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,4185.76,2015,7,0
327796,Canada,Quebec,Quebec City,Male,College,,1,Single,Star,4191.06,2017,6,0
947467,Canada,British Columbia,Vancouver,Female,Bachelor,49937.0,0,Married,Star,4196.43,2015,2,0
743510,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,4196.65,2016,5,0
580324,Canada,British Columbia,Vancouver,Male,Bachelor,61113.0,0,Married,Star,4198.03,2013,6,0
845613,Canada,Quebec,Montreal,Male,Bachelor,54297.0,0,Married,Star,4198.03,2018,10,0
645919,Canada,Alberta,Edmonton,Female,Bachelor,66297.0,0,Divorced,Aurora,7484.31,2018,3,0
423324,Canada,Quebec,Montreal,Male,Bachelor,69599.0,0,Divorced,Star,4200.37,2017,12,0
101945,Canada,Nova Scotia,Halifax,Male,Bachelor,86098.0,0,Married,Star,4202.66,2013,11,0
713636,Canada,Ontario,London,Male,Doctor,48109.0,0,Married,Star,4212.8,2014,8,0
302509,Canada,British Columbia,Dawson Creek,Male,Doctor,74238.0,0,Married,Star,4213.92,2017,3,0
789421,Canada,British Columbia,Vancouver,Female,College,,1,Single,Star,4217.86,2016,11,0
914255,Canada,Ontario,Toronto,Male,College,,1,Single,Star,4217.86,2015,11,1
675879,Canada,Alberta,Edmonton,Male,Bachelor,78617.0,0,Married,Aurora,8000.55,2018,2,0
404426,Canada,British Columbia,Vancouver,Female,Doctor,99696.0,0,Married,Star,4223.27,2014,9,0
260106,Canada,Manitoba,Winnipeg,Female,Bachelor,88876.0,0,Single,Star,4228.25,2013,6,1
827194,Canada,Alberta,Edmonton,Female,Bachelor,71450.0,0,Married,Aurora,8255.76,2018,3,0
438023,Canada,British Columbia,West Vancouver,Male,College,,1,Married,Star,4228.73,2013,1,0
397518,Canada,Saskatchewan,Regina,Male,Bachelor,76056.0,0,Married,Star,4235.18,2018,1,1
645742,Canada,Ontario,Kingston,Male,Bachelor,76056.0,0,Married,Star,4235.18,2014,8,1
872932,Canada,Quebec,Montreal,Male,High School or Below,72685.0,0,Married,Star,4236.3,2015,3,0
407945,Canada,New Brunswick,Fredericton,Female,Bachelor,75108.0,0,Married,Star,4236.47,2012,12,0
211714,Canada,British Columbia,Vancouver,Female,Doctor,103572.0,0,Married,Star,4236.84,2015,6,0
410982,Canada,Ontario,Trenton,Male,Master,132353.0,0,Married,Star,4237.37,2017,2,0
905213,Canada,British Columbia,Vancouver,Female,Master,132353.0,0,Married,Star,4237.37,2015,10,0
147898,Canada,Quebec,Tremblant,Female,High School or Below,59849.0,0,Divorced,Star,4241.64,2012,8,0
530105,Canada,Ontario,London,Male,College,,1,Single,Star,4242.69,2017,11,1
610946,Canada,Manitoba,Winnipeg,Female,Bachelor,56947.0,0,Married,Star,4244.47,2016,12,0
383108,Canada,British Columbia,Vancouver,Female,Bachelor,64497.0,0,Married,Star,4247.68,2012,6,0
836343,Canada,Ontario,Toronto,Female,Bachelor,64497.0,0,Married,Star,4247.68,2017,4,0
110262,Canada,Alberta,Edmonton,Male,Bachelor,52267.0,0,Married,Aurora,9427.68,2018,2,0
585357,Canada,Quebec,Quebec City,Male,College,,1,Single,Star,4250.28,2016,10,0
784804,Canada,Alberta,Banff,Female,College,,1,Single,Star,4250.28,2015,8,0
719633,Canada,British Columbia,Victoria,Male,Bachelor,52109.0,0,Divorced,Star,4250.78,2016,12,0
715764,Canada,Manitoba,Winnipeg,Male,College,,1,Single,Star,4253.28,2016,8,0
753473,Canada,Ontario,Toronto,Female,Doctor,70996.0,0,Single,Star,4254.62,2013,7,0
980856,Canada,Nova Scotia,Halifax,Male,Doctor,70996.0,0,Single,Star,4254.62,2015,2,0
271660,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,4270.03,2015,4,0
342980,Canada,Alberta,Peace River,Female,Bachelor,69086.0,0,Single,Aurora,19480.5,2018,2,0
830547,Canada,British Columbia,Vancouver,Male,Bachelor,51111.0,0,Single,Star,4271.2,2018,5,0
264936,Canada,British Columbia,Whistler,Female,College,,1,Single,Star,4272.81,2013,8,0
436498,Canada,Quebec,Montreal,Male,College,,1,Single,Star,4272.81,2013,11,1
976513,Canada,Quebec,Quebec City,Female,Bachelor,92067.0,0,Married,Star,4273.59,2014,8,0
828776,Canada,Ontario,Toronto,Male,Bachelor,60899.0,0,Married,Star,4274.62,2017,5,0
240362,Canada,Ontario,Toronto,Male,Bachelor,58756.0,0,Married,Star,4276.36,2014,10,0
137845,Canada,British Columbia,Dawson Creek,Female,Bachelor,88445.0,0,Married,Star,4277.27,2013,6,0
430569,Canada,Quebec,Montreal,Male,Bachelor,87462.0,0,Married,Star,4277.56,2016,10,0
317001,Canada,Ontario,Trenton,Male,Bachelor,61809.0,0,Married,Star,4282.95,2018,8,0
625870,Canada,Ontario,Toronto,Female,Bachelor,61809.0,0,Married,Star,4282.95,2013,8,0
660554,Canada,Alberta,Edmonton,Female,Bachelor,61809.0,0,Married,Star,4282.95,2017,10,0
917630,Canada,Ontario,Toronto,Female,Bachelor,61809.0,0,Married,Star,4282.95,2016,12,0
670686,Canada,Ontario,Thunder Bay,Female,College,,1,Single,Star,4291.06,2018,5,0
717660,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,4293.01,2015,3,0
450621,Canada,Quebec,Montreal,Female,Bachelor,77083.0,0,Married,Star,4296.6,2015,3,0
939562,Canada,Ontario,Toronto,Female,Bachelor,95467.0,0,Married,Star,4297.02,2016,12,0
135250,Canada,Ontario,Thunder Bay,Male,Bachelor,88089.0,0,Married,Star,4298.66,2013,8,0
714555,Canada,Ontario,Toronto,Male,Bachelor,64387.0,0,Divorced,Star,4299.84,2013,8,0
947868,Canada,Quebec,Tremblant,Male,Bachelor,96733.0,0,Married,Star,4300.9,2012,5,0
573661,Canada,Quebec,Montreal,Female,Bachelor,86098.0,0,Single,Star,4303.64,2018,8,0
228580,Canada,Ontario,Toronto,Male,Bachelor,54643.0,0,Single,Star,4305.79,2012,5,0
557500,Canada,Ontario,Toronto,Female,Bachelor,49606.0,0,Married,Star,4305.81,2015,11,0
238233,Canada,Ontario,Toronto,Male,Bachelor,85577.0,0,Married,Star,4307.42,2017,4,0
979309,Canada,Quebec,Montreal,Male,Bachelor,63654.0,0,Single,Star,4312.77,2013,3,0
342483,Canada,Alberta,Calgary,Male,College,,1,Single,Aurora,23706.11,2018,3,0
833569,Canada,Saskatchewan,Regina,Female,College,,1,Single,Star,4314.07,2017,9,0
120046,Canada,New Brunswick,Fredericton,Female,Bachelor,56411.0,0,Married,Star,4314.17,2017,7,0
816881,Canada,Quebec,Tremblant,Male,Bachelor,56411.0,0,Married,Star,4314.17,2018,6,0
717700,Canada,British Columbia,West Vancouver,Female,Bachelor,62093.0,0,Married,Star,4315.79,2015,9,0
384146,Canada,Alberta,Peace River,Female,High School or Below,48890.0,0,Married,Nova,2790.23,2018,4,1
245465,Canada,Ontario,Thunder Bay,Male,Doctor,69818.0,0,Married,Star,4319.15,2015,8,0
510372,Canada,Ontario,Toronto,Female,College,,1,Divorced,Star,4322.24,2018,7,0
709920,Canada,British Columbia,Dawson Creek,Female,Bachelor,82427.0,0,Married,Star,4327.1,2013,1,0
156031,Canada,Quebec,Montreal,Female,Bachelor,84981.0,0,Married,Star,4328.37,2014,12,1
143784,Canada,Quebec,Montreal,Female,Bachelor,76159.0,0,Married,Star,4330.39,2013,1,0
602176,Canada,Quebec,Quebec City,Female,Bachelor,76159.0,0,Married,Star,4330.39,2016,8,1
870998,Canada,British Columbia,Vancouver,Male,Bachelor,76159.0,0,Married,Star,4330.39,2016,4,0
958224,Canada,British Columbia,Vancouver,Female,Bachelor,76159.0,0,Married,Star,4330.39,2015,12,0
837628,Canada,British Columbia,Vancouver,Male,Bachelor,60928.0,0,Married,Star,4330.77,2014,10,0
395460,Canada,Alberta,Edmonton,Male,College,,1,Single,Star,4330.8,2013,12,0
136547,Canada,Alberta,Edmonton,Female,Bachelor,92131.0,0,Married,Star,4331.46,2012,9,0
780631,Canada,Ontario,Toronto,Female,Bachelor,92131.0,0,Married,Star,4331.46,2018,11,0
166712,Canada,Saskatchewan,Regina,Male,Master,114551.0,0,Single,Star,4334.06,2014,8,0
217695,Canada,Ontario,Trenton,Male,Master,114551.0,0,Single,Star,4334.06,2013,9,0
263707,Canada,Nova Scotia,Halifax,Female,Master,114551.0,0,Single,Star,4334.06,2014,5,0
638368,Canada,Quebec,Montreal,Male,Master,114551.0,0,Single,Star,4334.06,2013,11,0
695529,Canada,British Columbia,Vancouver,Male,Master,114551.0,0,Single,Star,4334.06,2012,12,0
871203,Canada,Ontario,Toronto,Male,Master,114551.0,0,Single,Star,4334.06,2017,12,0
915571,Canada,British Columbia,Victoria,Male,Master,114551.0,0,Single,Star,4334.06,2015,7,0
642109,Canada,British Columbia,Victoria,Male,Bachelor,94908.0,0,Married,Star,4335.35,2014,2,0
833701,Canada,British Columbia,Whistler,Male,College,,1,Single,Star,4340.86,2014,2,0
275442,Canada,New Brunswick,Moncton,Male,Bachelor,87262.0,0,Married,Star,4349.31,2016,1,0
374345,Canada,Saskatchewan,Regina,Female,Bachelor,87262.0,0,Married,Star,4349.31,2015,10,0
384825,Canada,Ontario,Thunder Bay,Female,Bachelor,87262.0,0,Married,Star,4349.31,2012,8,0
559233,Canada,Ontario,Kingston,Female,Bachelor,87262.0,0,Married,Star,4349.31,2018,7,0
564650,Canada,British Columbia,Vancouver,Male,Bachelor,87262.0,0,Married,Star,4349.31,2013,8,0
277649,Canada,Ontario,Toronto,Male,Bachelor,94838.0,0,Divorced,Star,4358.76,2012,8,0
176885,Canada,British Columbia,Dawson Creek,Male,Bachelor,90142.0,0,Married,Star,4361.37,2015,12,1
732013,Canada,Ontario,Toronto,Female,Bachelor,90142.0,0,Married,Star,4361.37,2015,9,0
793318,Canada,British Columbia,Whistler,Male,College,,1,Single,Star,4362.77,2016,2,0
830024,Canada,Quebec,Montreal,Female,College,,1,Single,Star,4362.77,2015,4,0
223684,Canada,Ontario,Toronto,Male,Bachelor,74964.0,0,Married,Star,4362.93,2018,7,0
723262,Canada,Alberta,Edmonton,Male,Bachelor,74964.0,0,Married,Star,4362.93,2018,10,0
879892,Canada,Ontario,Toronto,Male,Bachelor,71797.0,0,Divorced,Star,4363.12,2018,5,0
966117,Canada,Alberta,Calgary,Male,Bachelor,71797.0,0,Divorced,Star,4363.12,2012,9,0
258358,Canada,Quebec,Montreal,Female,College,,1,Single,Star,4363.2,2016,7,1
